"","date","F.Close","GE.Close","MSFT.Close"
"1",2017-01-03,12.59,31.690001,62.580002
"2",2017-01-04,13.17,31.700001,62.299999
"3",2017-01-05,12.77,31.52,62.299999
"4",2017-01-06,12.76,31.610001,62.84
"5",2017-01-09,12.63,31.459999,62.639999
"6",2017-01-10,12.85,31.370001,62.619999
"7",2017-01-11,12.67,31.469999,63.189999
"8",2017-01-12,12.59,31.389999,62.610001
"9",2017-01-13,12.63,31.360001,62.700001
"10",2017-01-17,12.61,31.27,62.529999
"11",2017-01-18,12.41,31.23,62.5
"12",2017-01-19,12.43,31.209999,62.299999
"13",2017-01-20,12.36,30.530001,62.740002
"14",2017-01-23,12.31,29.75,62.959999
"15",2017-01-24,12.61,30,63.52
"16",2017-01-25,12.79,30.370001,63.68
"17",2017-01-26,12.37,30.32,64.269997
"18",2017-01-27,12.49,30.01,65.779999
"19",2017-01-30,12.37,29.959999,65.129997
"20",2017-01-31,12.36,29.700001,64.650002
"21",2017-02-01,12.32,29.690001,63.580002
"22",2017-02-02,12.28,29.68,63.169998
"23",2017-02-03,12.56,29.700001,63.68
"24",2017-02-06,12.52,29.66,63.639999
"25",2017-02-07,12.34,29.559999,63.43
"26",2017-02-08,12.38,29.43,63.34
"27",2017-02-09,12.38,29.59,64.059998
"28",2017-02-10,12.51,29.719999,64
"29",2017-02-13,12.56,30.040001,64.720001
"30",2017-02-14,12.65,30.280001,64.57
"31",2017-02-15,12.63,30.35,64.529999
"32",2017-02-16,12.54,30.450001,64.519997
"33",2017-02-17,12.58,30.370001,64.620003
"34",2017-02-21,12.69,30.52,64.489998
"35",2017-02-22,12.67,30.33,64.360001
"36",2017-02-23,12.56,30.02,64.620003
"37",2017-02-24,12.47,30.190001,64.620003
"38",2017-02-27,12.66,29.940001,64.230003
"39",2017-02-28,12.53,29.809999,63.98
"40",2017-03-01,12.69,30.190001,64.940002
"41",2017-03-02,12.66,30.190001,64.010002
"42",2017-03-03,12.65,30.120001,64.25
"43",2017-03-06,12.52,30,64.269997
"44",2017-03-07,12.46,29.860001,64.400002
"45",2017-03-08,12.53,29.799999,64.989998
"46",2017-03-09,12.5,29.66,64.730003
"47",2017-03-10,12.53,30.280001,64.93
"48",2017-03-13,12.54,29.860001,64.709999
"49",2017-03-14,12.55,29.540001,64.410004
"50",2017-03-15,12.65,29.76,64.75
"51",2017-03-16,12.7,29.75,64.639999
"52",2017-03-17,12.48,29.879999,64.870003
"53",2017-03-20,12.28,29.74,64.93
"54",2017-03-21,11.72,29.389999,64.209999
"55",2017-03-22,11.77,29.530001,65.029999
"56",2017-03-23,11.67,29.620001,64.870003
