T,S,Spread
10/01/12,9.81,0.770914
09/28/12,9.49,0.790254
09/27/12,9.74,0.750696
09/26/12,9.49,0.769219
09/25/12,9.59,0.753442
09/24/12,9.88,0.757956
09/21/12,10.1,0.727479
09/20/12,10.12,0.723431
09/19/12,10.17,0.70664
09/18/12,9.87,0.688981
09/17/12,9.91,0.682125
09/14/12,9.97,0.664659
09/13/12,10.03,0.72948
09/12/12,9.94,0.691171
09/11/12,9.81,0.712956
09/10/12,9.79,0.737036
09/07/12,9.87,0.718116
09/06/12,9.84,0.683066
09/05/12,9.61,0.769122
09/04/12,9.31,0.768141
08/31/12,9.13,0.78283
08/30/12,9.12,0.713776
08/29/12,9.11,0.693723
08/28/12,9,0.868987
08/27/12,8.95,0.842377
08/24/12,8.89,0.821387
08/23/12,8.52,0.833687
08/22/12,8.75,0.823082
08/21/12,8.75,0.732045
08/20/12,8.76,0.734119
08/17/12,8.7,0.723063
08/16/12,8.85,0.694403
08/15/12,8.8,0.727714
08/14/12,8.69,0.790543
08/13/12,8.58,0.817853
08/10/12,8.18,0.821071
08/09/12,8.17,0.801077
08/08/12,8.17,0.81615
08/07/12,8.15,0.818038
08/06/12,7.97,0.893649
08/03/12,8.14,0.853984
08/02/12,7.87,0.906462
08/01/12,8.04,0.922931
07/31/12,8.45,0.952762
07/30/12,8.38,0.927634
07/27/12,8.34,0.884369
07/26/12,8.13,0.945454
07/25/12,8.11,0.964969
07/24/12,7.85,1.977446
07/23/12,7.58,1.968914
07/20/12,6.75,1.975278
07/19/12,6.69,1.929212
07/18/12,6.73,1.950147
07/17/12,6.69,1.919209
07/16/12,6.7,1.949208
07/13/12,6.71,1.920207
07/12/12,6.51,1.934814
07/11/12,6.54,1.911747
07/10/12,6.58,1.916873
07/09/12,6.57,1.902805
07/06/12,6.5,1.877672
07/05/12,6.65,1.858001
07/03/12,6.73,1.848734
07/02/12,6.57,1.85733
06/29/12,6.51,1.843827
06/28/12,6.01,1.874202
06/27/12,6.13,1.831457
06/26/12,5.95,1.838245
06/25/12,6,1.838306
06/22/12,6.1,1.791433
06/21/12,5.93,1.803229
06/20/12,6.14,1.810625
06/19/12,6.21,1.831748
06/18/12,5.91,1.847136
06/15/12,5.88,1.863996
06/14/12,6.06,1.791238
06/13/12,5.9,1.811324
06/12/12,6.02,1.765586
06/11/12,6.01,1.808651
06/08/12,6.09,1.788717
06/07/12,5.95,1.778505
06/06/12,6.01,1.747571
06/05/12,5.86,1.78428
06/04/12,5.79,1.784567
06/01/12,5.8,1.822132
05/31/12,6.12,1.809334
05/30/12,6.07,1.768618
05/29/12,6.12,1.696824
05/25/12,6.09,1.708169
05/24/12,6.17,1.676893
05/23/12,6.2,1.7044
05/22/12,6.03,1.693882
05/21/12,6.05,1.713027
05/18/12,6.02,1.700952
05/17/12,6.16,1.72032
05/16/12,6.46,1.684068
05/15/12,6.62,1.689223
05/14/12,6.63,1.688531
05/11/12,6.66,1.676379
